code	full-ja	full-ja-hira	full-en	base-ja	base-ja-hira	base-en	type	pref	psub	county	subpref
20361	下諏訪町	しもすわまち	Shimosuwa Town	下諏訪	しもすわ	Shimosuwa	34	20	20360	20360	
20362	富士見町	ふじみまち	Fujimi Town	富士見	ふじみ	Fujimi	34	20	20360	20360	
20363	原村	はらむら	Hara Village	原	はら	Hara	36	20	20360	20360	
20382	辰野町	たつのまち	Tatsuno Town	辰野	たつの	Tatsuno	34	20	20380	20380	
20383	箕輪町	みのわまち	Minowa Town	箕輪	みのわ	Minowa	34	20	20380	20380	
20384	飯島町	いいじままち	Iijima Town	飯島	いいじま	Iijima	34	20	20380	20380	
20385	南箕輪村	みなみみのわむら	Minamiminowa Village	南箕輪	みなみみのわ	Minamiminowa	36	20	20380	20380	
20386	中川村	なかがわむら	Nakagawa Village	中川	なかがわ	Nakagawa	36	20	20380	20380	
20388	宮田村	みやだむら	Miyada Village	宮田	みやだ	Miyada	36	20	20380	20380	
20402	松川町	まつかわまち	Matsukawa Town	松川	まつかわ	Matsukawa	34	20	20400	20400	
20403	高森町	たかもりまち	Takamori Town	高森	たかもり	Takamori	34	20	20400	20400	
20404	阿南町	あなんちょう	Anan Town	阿南	あなん	Anan	35	20	20400	20400	
20407	阿智村	あちむら	Achi Village	阿智	あち	Achi	36	20	20400	20400	
20409	平谷村	ひらやむら	Hiraya Village	平谷	ひらや	Hiraya	36	20	20400	20400	
20410	根羽村	ねばむら	Neba Village	根羽	ねば	Neba	36	20	20400	20400	
20411	下條村	しもじょうむら	Shimojo Village	下條	しもじょう	Shimojo	36	20	20400	20400	
20412	売木村	うるぎむら	Urugi Village	売木	うるぎ	Urugi	36	20	20400	20400	
20413	天龍村	てんりゅうむら	Tenryu Village	天龍	てんりゅう	Tenryu	36	20	20400	20400	
20414	泰阜村	やすおかむら	Yasuoka Village	泰阜	やすおか	Yasuoka	36	20	20400	20400	
20415	喬木村	たかぎむら	Takagi Village	喬木	たかぎ	Takagi	36	20	20400	20400	
20416	豊丘村	とよおかむら	Toyooka Village	豊丘	とよおか	Toyooka	36	20	20400	20400	
20417	大鹿村	おおしかむら	Oshika Village	大鹿	おおしか	Oshika	36	20	20400	20400	
20422	上松町	あげまつまち	Agematsu Town	上松	あげまつ	Agematsu	34	20	20420	20420	
20423	南木曽町	なぎそまち	Nagiso Town	南木曽	なぎそ	Nagiso	34	20	20420	20420	
20425	木祖村	きそむら	Kiso Village	木祖	きそ	Kiso	36	20	20420	20420	
20429	王滝村	おうたきむら	Otaki Village	王滝	おうたき	Otaki	36	20	20420	20420	
20430	大桑村	おおくわむら	Okuwa Village	大桑	おおくわ	Okuwa	36	20	20420	20420	
20432	木曽町	きそまち	Kiso Town	木曽	きそ	Kiso	34	20	20420	20420	
20446	麻績村	おみむら	Omi Village	麻績	おみ	Omi	36	20	20440	20440	
20448	生坂村	いくさかむら	Ikusaka Village	生坂	いくさか	Ikusaka	36	20	20440	20440	
20450	山形村	やまがたむら	Yamagata Village	山形	やまがた	Yamagata	36	20	20440	20440	
20451	朝日村	あさひむら	Asahi Village	朝日	あさひ	Asahi	36	20	20440	20440	
20452	筑北村	ちくほくむら	Chikuhoku Village	筑北	ちくほく	Chikuhoku	36	20	20440	20440	
20481	池田町	いけだまち	Ikeda Town	池田	いけだ	Ikeda	34	20	20480	20480	
20482	松川村	まつかわむら	Matsukawa Village	松川	まつかわ	Matsukawa	36	20	20480	20480	
20485	白馬村	はくばむら	Hakuba Village	白馬	はくば	Hakuba	36	20	20480	20480	
20486	小谷村	おたりむら	Otari Village	小谷	おたり	Otari	36	20	20480	20480	
20521	坂城町	さかきまち	Sakaki Town	坂城	さかき	Sakaki	34	20	20520	20520	
20541	小布施町	おぶせまち	Obuse Town	小布施	おぶせ	Obuse	34	20	20540	20540	
